middleBizName,lowerBizName
의류/직물,여성복
의류/직물,옷감/침구
의류/직물,유아 아동복
의류/직물,의류/직물기타
의류/직물,카펫/커튼
의류/직물,한복·전통의류
자동차시설,CNG충전소
자동차시설,가스충전소
자동차시설,렌트카
자동차시설,세차장
자동차시설,수소차충전소
자동차시설,썬팅/광택
자동차시설,오토바이
자동차시설,운전면허학원
자동차시설,자동차부품점
자동차시설,자동차시설기타
자동차시설,자동차영업소
자동차시설,자동차용품점
자동차시설,전기차충전소
자동차시설,정비센터
자동차시설,주유소
자동차시설,주차장
자동차시설,중고차매매
자동차시설,지정정비센터
자동차시설,직영서비스센터
자동차시설,차고지
자동차시설,차량등록사업소
자연물,고개/재/령
자연물,기타
자전거시설,자전거관련
자전거시설,자전거대여소
장애인편의시설,기타
재난안전시설,구호소
재난안전시설,대피소
재난안전시설,쉼터
전기/가정용품,냉난방기구
전기/가정용품,의료기구
전기/가정용품,전기/가정/의료용품 기타
전기/가정용품,조명기구
전기/가정용품,주방용품
정보통신기기,KT
정보통신기기,LG유플러스
정보통신기기,SK텔레콤
정보통신기기,정보통신기기기타
제2금융,공제
제2금융,리스
제2금융,보증보험
제2금융,비생명보험
제2금융,상호저축은행
제2금융,새마을금고
제2금융,생명보험
제2금융,신용/보증
제2금융,신용카드사
제2금융,신용협동조합
제2금융,제2금융기타
제2금융,종금사
제2금융,증권
제2금융,창업투자
제2금융,투신사
종교,교회시설
종교,성당시설
종교,원불교
종교,절
종교,종교기타
종교,천도교
주요건물,기숙사
주요건물,빌라
주요건물,아파트건설사
주요건물,아파트단지
주요건물,아파트브랜드
주요건물,오피스텔
주요건물,주상복합
주요건물,주요건물기타
주요건물,주요빌딩
주요건물,주택
주요그룹,GS
주요그룹,KG모빌리티
주요그룹,KT
주요그룹,LG
주요그룹,SK
주요그룹,금호
주요그룹,대우
주요그룹,동부
주요그룹,동양
주요그룹,두산
주요그룹,롯데
주요그룹,삼성
주요그룹,주요기업기타
주요그룹,한솔
주요그룹,한진
주요그룹,한화
주요그룹,현대
주요금융,ATM
주요금융,농/수/축/임협
주요금융,농/수/축/임협출장소
주요금융,은행
주요금융,은행출장소
중고품,중고품기타
지역,기타
지역,리
지역,마을
지역,새주소도로명
지역,시/군/구
지역,시/도
지역,읍/면/동
지역,자연마을
창고,냉장/냉동창고
창고,물류센터
창고,저유소
창고,집하장
창고,창고기타
취미/오락,복권
취미/오락,스포츠·레저용품
취미/오락,애완/관상
취미/오락,음반
취미/오락,자전거판매/수리점
취미/오락,장난감
취미/오락,취미/오락기타
카메라/광학,A/S
카메라/광학,대리점
카메라/광학,카메라/광학기타
카페,공차
카페,빙수전문점
카페,아이스크림전문점
카페,음악카페
카페,이색카페
카페,전통찻집
카페,주스전문점
카페,카페기타
카페,커피전문점
카페,테마카페
컴퓨터,HP
컴퓨터,삼보
컴퓨터,삼성
컴퓨터,컴퓨터기타
패션잡화/화장품,가방
패션잡화/화장품,선물
패션잡화/화장품,신발
패션잡화/화장품,안경
패션잡화/화장품,액세서리
패션잡화/화장품,패션잡화/화장품
패션잡화/화장품,화장품
행정기관,국회/시/군/구의회
행정기관,도/시/구/군청
행정기관,동/읍/면/리사무소
행정기관,법무부
행정기관,중앙행정기관
행정기관,지방행정기관
행정기관,행정기관
행정기관,행정기관기타
회계관련,공인회계사무소
회계관련,관세사무소
회계관련,세무사무소
회계관련,회계관련기타
